
Date	US Dollar to South Korean Won Monthly Exchange Rates
Friday 1 January 2021	$1 USD = ₩1085.7573	US Dollar South Korean Won rate for 01/01/2021
Saturday 2 January 2021	$1 USD = ₩1085.7306	US Dollar South Korean Won rate for 02/01/2021
Sunday 3 January 2021	$1 USD = ₩1087.1248	US Dollar South Korean Won rate for 03/01/2021
Monday 4 January 2021	$1 USD = ₩1085.5077	US Dollar South Korean Won rate for 04/01/2021
Tuesday 5 January 2021	$1 USD = ₩1087.0792	US Dollar South Korean Won rate for 05/01/2021
Wednesday 6 January 2021	$1 USD = ₩1088.033	US Dollar South Korean Won rate for 06/01/2021
Thursday 7 January 2021	$1 USD = ₩1094.1273	US Dollar South Korean Won rate for 07/01/2021
Friday 8 January 2021	$1 USD = ₩1093.008	US Dollar South Korean Won rate for 08/01/2021
Saturday 9 January 2021	$1 USD = ₩1093.049	US Dollar South Korean Won rate for 09/01/2021
Sunday 10 January 2021	$1 USD = ₩1093.7378	US Dollar South Korean Won rate for 10/01/2021
Monday 11 January 2021	$1 USD = ₩1097.3529	US Dollar South Korean Won rate for 11/01/2021
Tuesday 12 January 2021	$1 USD = ₩1094.4277	US Dollar South Korean Won rate for 12/01/2021
Wednesday 13 January 2021	$1 USD = ₩1097.9311	US Dollar South Korean Won rate for 13/01/2021
Thursday 14 January 2021	$1 USD = ₩1096.062	US Dollar South Korean Won rate for 14/01/2021
Friday 15 January 2021	$1 USD = ₩1104.2633	US Dollar South Korean Won rate for 15/01/2021
Saturday 16 January 2021	$1 USD = ₩1104.2289	US Dollar South Korean Won rate for 16/01/2021
Sunday 17 January 2021	$1 USD = ₩1104.6658	US Dollar South Korean Won rate for 17/01/2021
Monday 18 January 2021	$1 USD = ₩1104.1785	US Dollar South Korean Won rate for 18/01/2021
Tuesday 19 January 2021	$1 USD = ₩1102.3449	US Dollar South Korean Won rate for 19/01/2021
Wednesday 20 January 2021	$1 USD = ₩1097.3834	US Dollar South Korean Won rate for 20/01/2021
Thursday 21 January 2021	$1 USD = ₩1099.7256	US Dollar South Korean Won rate for 21/01/2021
Friday 22 January 2021	$1 USD = ₩1105.5072	US Dollar South Korean Won rate for 22/01/2021
Saturday 23 January 2021	$1 USD = ₩1105.5072	US Dollar South Korean Won rate for 23/01/2021
Sunday 24 January 2021	$1 USD = ₩1105.5954	US Dollar South Korean Won rate for 24/01/2021
Monday 25 January 2021	$1 USD = ₩1102.732	US Dollar South Korean Won rate for 25/01/2021
Tuesday 26 January 2021	$1 USD = ₩1102.0255	US Dollar South Korean Won rate for 26/01/2021
Wednesday 27 January 2021	$1 USD = ₩1108.5006	US Dollar South Korean Won rate for 27/01/2021
Thursday 28 January 2021	$1 USD = ₩1113.6497	US Dollar South Korean Won rate for 28/01/2021
